review_id,user_id,game_id,complexity_score,gameplay_score,visual_score,overall_score,row_creation_time_utc
r45,u2,g13,1,4,3,2,2020-12-01 12:00:00
r46,u7,g35,5,5,5,5,2020-12-01 12:00:00
r47,u11,g17,4,2,1,2,2020-12-01 12:00:00
r48,u14,g25,1,4,4,3,2020-12-01 12:00:00
r49,u2,g46,2,5,4,3,2020-12-01 12:00:00
r50,u4,g25,3,2,5,3,2020-12-01 12:00:00
r51,u12,g18,2,5,3,3,2020-12-01 12:00:00
r52,u6,g20,3,1,3,2,2020-12-01 12:00:00
r53,u19,g8,3,2,4,3,2020-12-01 12:00:00
r54,u9,g38,5,5,3,4,2020-12-01 12:00:00
r55,u14,g44,2,1,3,2,2020-12-01 12:00:00
r56,u8,g29,1,3,1,1,2020-12-01 12:00:00
r57,u13,g50,4,3,3,3,2020-12-01 12:00:00
r58,u11,g43,3,2,5,3,2020-12-01 12:00:00
r59,u12,g1,2,3,5,3,2020-12-01 12:00:00
r60,u11,g44,3,5,4,4,2020-12-01 12:00:00
r61,u1,g23,1,5,2,2,2020-12-01 12:00:00
r62,u14,g19,2,2,3,2,2020-12-01 12:00:00
r63,u3,g43,2,3,1,2,2020-12-01 12:00:00
r64,u19,g7,1,2,2,1,2020-12-01 12:00:00
r65,u17,g11,1,3,2,2,2020-12-01 12:00:00
r66,u6,g37,1,5,5,3,2020-12-01 12:00:00
r67,u5,g42,5,1,5,3,2020-12-01 12:00:00
r68,u14,g45,2,1,2,1,2020-12-01 12:00:00
r69,u5,g32,3,1,5,3,2020-12-01 12:00:00
r70,u8,g31,2,4,1,2,2020-12-01 12:00:00
r71,u17,g41,2,2,5,3,2020-12-01 12:00:00
r72,u3,g14,2,2,2,2,2020-12-01 12:00:00
r73,u12,g2,5,3,2,3,2020-12-01 12:00:00
r74,u12,g20,5,5,2,4,2020-12-01 12:00:00
r75,u10,g5,5,4,1,3,2020-12-01 12:00:00
r76,u8,g2,2,4,1,2,2020-12-01 12:00:00
r77,u7,g38,4,5,1,3,2020-12-01 12:00:00
r79,u7,g19,1,2,5,2,2020-12-01 12:00:00
r81,u4,g40,1,1,4,2,2020-12-01 12:00:00
r82,u19,g14,4,4,3,3,2020-12-01 12:00:00
r83,u12,g28,1,5,1,2,2020-12-01 12:00:00
r84,u11,g34,3,4,2,3,2020-12-01 12:00:00
r85,u20,g13,3,3,5,3,2020-12-01 12:00:00
r87,u15,g32,2,5,2,3,2020-12-01 12:00:00
r88,u12,g6,2,3,4,3,2020-12-01 12:00:00
r89,u4,g2,3,3,5,3,2020-12-01 12:00:00
r90,u9,g28,3,5,4,4,2020-12-01 12:00:00
r91,u2,g35,4,3,1,2,2020-12-01 12:00:00
r92,u11,g49,4,1,1,2,2020-12-01 12:00:00
r93,u5,g25,1,1,4,2,2020-12-01 12:00:00
r94,u17,g14,3,4,3,3,2020-12-01 12:00:00
r95,u7,g24,1,4,1,2,2020-12-01 12:00:00
r96,u11,g50,5,3,1,3,2020-12-01 12:00:00
r97,u11,g31,2,1,5,2,2020-12-01 12:00:00
r98,u12,g37,1,4,2,2,2020-12-01 12:00:00
r99,u8,g3,5,5,2,4,2020-12-01 12:00:00
r101,u13,g13,4,1,2,2,2020-12-01 12:00:00
r102,u4,g17,5,2,4,3,2020-12-01 12:00:00
r103,u19,g12,2,1,5,2,2020-12-01 12:00:00
r104,u20,g37,3,1,5,3,2020-12-01 12:00:00
r105,u16,g31,5,2,2,3,2020-12-01 12:00:00
r106,u6,g16,1,5,5,3,2020-12-01 12:00:00
r107,u7,g36,3,2,2,2,2020-12-01 12:00:00
r109,u8,g48,3,3,5,3,2020-12-01 12:00:00
r110,u7,g9,2,3,3,2,2020-12-01 12:00:00
r111,u2,g48,4,2,4,3,2020-12-01 12:00:00
r112,u13,g36,2,2,4,2,2020-12-01 12:00:00
r113,u13,g32,2,4,3,3,2020-12-01 12:00:00
r114,u3,g32,3,1,1,1,2020-12-01 12:00:00
r115,u18,g13,3,3,1,2,2020-12-01 12:00:00
r116,u7,g6,2,2,1,1,2020-12-01 12:00:00
r117,u18,g22,5,5,1,3,2020-12-01 12:00:00
r118,u7,g49,3,2,5,3,2020-12-01 12:00:00
r121,u18,g23,5,3,4,4,2020-12-01 12:00:00
r123,u1,g3,3,5,1,3,2020-12-01 12:00:00
r124,u5,g12,5,3,3,3,2020-12-01 12:00:00
r125,u10,g4,3,4,2,3,2020-12-01 12:00:00
r126,u2,g37,2,1,2,1,2020-12-01 12:00:00
r127,u15,g50,3,1,5,3,2020-12-01 12:00:00
r128,u5,g30,2,3,5,3,2020-12-01 12:00:00
r129,u6,g21,2,1,1,1,2020-12-01 12:00:00
r132,u16,g27,1,1,1,1,2020-12-01 12:00:00
r133,u7,g17,3,2,4,3,2020-12-01 12:00:00
r134,u6,g31,4,1,5,3,2020-12-01 12:00:00
r135,u1,g16,1,5,1,2,2020-12-01 12:00:00
r136,u1,g31,5,3,1,3,2020-12-01 12:00:00
r140,u10,g50,3,1,1,1,2020-12-01 12:00:00
r141,u12,g9,3,2,4,3,2020-12-01 12:00:00
r142,u15,g24,3,1,3,2,2020-12-01 12:00:00
r144,u12,g40,4,2,3,3,2020-12-01 12:00:00
r145,u2,g12,5,3,5,4,2020-12-01 12:00:00
r146,u5,g7,2,3,3,2,2020-12-01 12:00:00
r147,u5,g43,1,5,2,2,2020-12-01 12:00:00
r148,u3,g21,4,4,4,4,2020-12-01 12:00:00
r149,u4,g23,1,4,4,3,2020-12-01 12:00:00
r150,u6,g13,2,2,2,2,2020-12-01 12:00:00
r152,u13,g10,1,4,5,3,2020-12-01 12:00:00
r153,u15,g3,2,5,3,3,2020-12-01 12:00:00
r154,u15,g12,4,1,5,3,2020-12-01 12:00:00
r155,u6,g35,1,3,4,2,2020-12-01 12:00:00
r156,u1,g14,3,4,2,3,2020-12-01 12:00:00
r159,u13,g41,3,5,3,3,2020-12-01 12:00:00
r160,u5,g15,1,1,4,2,2020-12-01 12:00:00
r161,u8,g16,3,1,5,3,2020-12-01 12:00:00
r163,u12,g50,3,4,4,3,2020-12-01 12:00:00
r164,u3,g46,5,5,3,4,2020-12-01 12:00:00
r165,u16,g11,2,2,4,2,2020-12-01 12:00:00
r167,u9,g7,2,2,1,1,2020-12-01 12:00:00
r168,u2,g40,1,2,2,1,2020-12-01 12:00:00
r169,u10,g34,4,5,4,4,2020-12-01 12:00:00
r170,u12,g10,4,3,5,4,2020-12-01 12:00:00
r173,u17,g2,5,4,4,4,2020-12-01 12:00:00
r174,u12,g38,3,2,2,2,2020-12-01 12:00:00
r176,u14,g11,5,1,5,3,2020-12-01 12:00:00
r178,u18,g20,2,3,1,2,2020-12-01 12:00:00
r180,u7,g41,1,2,5,2,2020-12-01 12:00:00
r182,u9,g20,2,4,2,2,2020-12-01 12:00:00
r183,u8,g17,1,3,5,3,2020-12-01 12:00:00
r184,u11,g18,1,3,3,2,2020-12-01 12:00:00
r185,u14,g32,1,5,4,3,2020-12-01 12:00:00
r186,u9,g49,3,2,5,3,2020-12-01 12:00:00
r187,u12,g47,5,4,5,4,2020-12-01 12:00:00
r188,u11,g9,2,1,3,2,2020-12-01 12:00:00
r189,u3,g22,2,2,2,2,2020-12-01 12:00:00
r190,u2,g10,3,1,4,2,2020-12-01 12:00:00
r191,u6,g42,5,3,1,3,2020-12-01 12:00:00
r192,u17,g31,3,5,1,3,2020-12-01 12:00:00
r193,u17,g35,2,4,5,3,2020-12-01 12:00:00
r194,u19,g16,3,2,5,3,2020-12-01 12:00:00
r195,u1,g50,1,1,5,2,2020-12-01 12:00:00
r196,u20,g27,1,1,4,2,2020-12-01 12:00:00
r197,u17,g4,5,5,2,4,2020-12-01 12:00:00
r198,u9,g17,2,4,3,3,2020-12-01 12:00:00
r199,u12,g44,2,1,3,2,2020-12-01 12:00:00
r200,u1,g25,5,4,1,3,2020-12-01 12:00:00
r201,u20,g20,3,1,4,2,2020-12-01 12:00:00
r202,u18,g7,3,3,3,3,2020-12-01 12:00:00
r204,u16,g22,2,4,5,3,2020-12-01 12:00:00
r206,u2,g8,2,5,5,4,2020-12-01 12:00:00
r207,u14,g7,4,1,5,3,2020-12-01 12:00:00
r209,u11,g48,2,5,1,2,2020-12-01 12:00:00
r210,u5,g46,1,5,4,3,2020-12-01 12:00:00
r211,u10,g45,5,1,4,3,2020-12-01 12:00:00
r212,u20,g7,1,3,2,2,2020-12-01 12:00:00
r213,u13,g5,1,4,3,2,2020-12-01 12:00:00
r214,u12,g25,2,5,2,3,2020-12-01 12:00:00
r215,u3,g49,1,3,4,2,2020-12-01 12:00:00
r216,u3,g1,4,5,2,3,2020-12-01 12:00:00
r217,u9,g22,4,5,3,4,2020-12-01 12:00:00
r219,u18,g42,1,3,4,2,2020-12-01 12:00:00
r220,u16,g14,2,4,2,2,2020-12-01 12:00:00
r221,u8,g13,2,4,1,2,2020-12-01 12:00:00
r222,u2,g43,2,1,3,2,2020-12-01 12:00:00
r223,u14,g24,4,4,1,3,2020-12-01 12:00:00
r224,u20,g22,4,1,2,2,2020-12-01 12:00:00
r225,u10,g9,4,2,1,2,2020-12-01 12:00:00
r226,u9,g18,2,2,5,3,2020-12-01 12:00:00
r227,u20,g24,4,2,3,3,2020-12-01 12:00:00
r228,u4,g1,5,1,1,2,2020-12-01 12:00:00
r229,u6,g19,2,2,4,2,2020-12-01 12:00:00
r231,u5,g35,1,1,1,1,2020-12-01 12:00:00
r233,u20,g47,1,2,3,2,2020-12-01 12:00:00
r234,u7,g25,1,4,1,2,2020-12-01 12:00:00
r236,u10,g40,3,4,1,2,2020-12-01 12:00:00
r237,u5,g28,1,2,1,1,2020-12-01 12:00:00
r238,u5,g41,3,2,5,3,2020-12-01 12:00:00
r239,u1,g18,4,4,4,4,2020-12-01 12:00:00
r240,u10,g3,2,4,2,2,2020-12-01 12:00:00
r242,u12,g26,1,4,5,3,2020-12-01 12:00:00
r244,u14,g31,3,5,2,3,2020-12-01 12:00:00
r245,u17,g10,1,5,4,3,2020-12-01 12:00:00
r246,u9,g42,1,2,4,2,2020-12-01 12:00:00
r247,u5,g34,3,4,1,2,2020-12-01 12:00:00
r250,u15,g42,3,5,2,3,2020-12-01 12:00:00
